Domain,Direction,HR,P_Val_TTD,Sig_TTD,C2_Diff,C6_Diff,C12_Diff,C2_P_Val,C6_P_Val,C12_P_Val,HR_Low,HR_High,Sig_C2,Sig_C6
QL_Global,High_Good,0.8339140034438941,0.3179857569323866,,1.8010306650410457,1.6768996814063297,-2.1574953243683965,0.43118575504641754,0.4838505658984391,0.4654566495731246,0.5838562389356571,1.1910681410333614,,
PF_Physical,High_Good,0.9741053060672679,0.8849086087319978,,0.5133889786657625,1.3931174891778286,-1.502401117153461,0.7262801940027408,0.36361447851431083,0.42228876613479205,0.6828504360612284,1.3895885499929932,,
RF_Role,High_Good,1.0263344194177872,0.8827169609452749,,2.133273633078592,5.199618568644468,0.9478306188046464,0.2995311423526505,0.01617085939673457,0.7236436011159993,0.7266237772863838,1.4496667648497348,,*
EF_Emotional,High_Good,1.2743584743518435,0.2857441206383737,,0.7269712299337141,2.6904047918331306,-1.4877196832937227,0.6527649115705291,0.1120801969007926,0.47472518885366966,0.8165328482288656,1.9888844945735373,,
CF_Cognitive,High_Good,1.1131215504485765,0.5578889532176958,,0.1195745945264374,2.8625869603978717,-1.885848001226404,0.9449724943479212,0.11576454921875302,0.40459521313189795,0.7778013175531401,1.593002683475643,,
SF_Social,High_Good,1.296939511608742,0.1447146459910571,,1.9764495421989392,2.3548778804720456,-1.9351083353387488,0.4260312934039293,0.3657703487168642,0.5485676425784887,0.9144737903472419,1.839366108167209,,
FA_Fatigue,Low_Good,1.1338838265103746,0.4107324631714393,,-2.9060627923088402,-5.047825371451006,2.021246400087608,0.15149151833349425,0.017424015514072154,0.4362518826403581,0.8405274129876993,1.529625937423917,,*
NV_Nausea,Low_Good,1.0367470316902088,0.8248679213507735,,-0.9274318619459407,2.5923810446332904,1.0770492118936406,0.5563604282055873,0.11990290288466937,0.6147633602056285,0.7531090722889238,1.4272094803634288,,
PA_Pain,Low_Good,0.8405553889916028,0.3589649278306313,,0.6014976063408717,-1.0594888725448912,3.4602779150384464,0.7472866271274736,0.5891956768233545,0.15828126000180615,0.5799581521743384,1.2182488672914404,,
DY_Dyspnoea,Low_Good,1.0327244728058045,0.8785213748679085,,-1.039406377051168,0.4680563769542292,-0.0022245160526985774,0.5869001649667598,0.8166477790779324,0.9993116184490664,0.6833722837832058,1.5606717773622372,,
SL_Insomnia,Low_Good,0.9833075873066491,0.9378235240245575,,0.7515735931619496,-0.7961097220201305,9.194781942956373,0.7593022754525334,0.756876100862508,0.0038527414025811535,0.6441747120709655,1.5009807015651764,,
AP_Appetite,Low_Good,1.0884249539224093,0.5995552721707623,,-0.48341833411724006,-1.1799660528416924,-1.3173117360181326,0.8368501576962364,0.6355322057498098,0.683990643443867,0.7932872846075246,1.4933667831410014,,
CO_Constip,Low_Good,1.0130850224850163,0.9484585044055412,,-0.4152120707391296,-1.1281868589904511,3.339831558569168,0.8383907561576329,0.6013125838161381,0.23675107117426852,0.6830657955886622,1.50255110036504,,
DI_Diarrhea,Low_Good,1.1827769833693995,0.5392854521601098,,-1.9448604902820343,0.5860034621522572,0.14686851849298277,0.09588242990876379,0.6358785082958507,0.9278934601578189,0.6920662526194831,2.0214269762372075,,
FI_Financial,Low_Good,0.5731561190218266,0.018411867240497173,*,2.5958374442389376,-2.7114844142992194,8.349698824958136,0.43520995775797056,0.4350233009469848,0.04769487892053109,0.3608147560572958,0.9104614799068713,,
HN_Pain,Low_Good,1.1515578242266293,0.5460225165061062,,-0.44947677198445224,0.6295695754288714,3.5012900216789293,0.7235956051631263,0.6369559938347251,0.035061882963211104,0.7283271472230307,1.8207277150023493,,
HN_Swallow,Low_Good,0.987401692477674,0.9578510700925,,-0.935930727448353,0.22653895126122503,1.7417727144274693,0.4343885678230006,0.856074477123554,0.25037634939122416,0.6170187795434154,1.5801173880464907,,
HN_Senses,Low_Good,1.1541637141130643,0.441733920365228,,-0.9124545679580267,3.3884071517494725,5.659649685597519,0.6478191740767973,0.10675151431274484,0.03123893975562943,0.8009782824204271,1.6630836418559198,,
HN_Speech,Low_Good,1.1431318075649521,0.4841922988923813,,0.050945682351208665,1.7084346529129049,1.7923902190774188,0.9697637634900778,0.22591045701407886,0.3060080227791595,0.7858343026606824,1.6628827795405619,,
HN_SocialEat,Low_Good,1.194274936780255,0.38963848655387634,,-2.848533881600149,-0.5432253118731913,-1.3790847839553941,0.06053998338129495,0.7301634603124112,0.46329414806811886,0.7969612812664646,1.7896636362997915,,
HN_SocialCon,Low_Good,1.0916383147795057,0.6592869571062512,,-0.7076068901823511,1.1990735612580434,2.955613192575238,0.6201746921209171,0.42132715939797427,0.10335041044530899,0.7392710298935968,1.6119584862755358,,
HN_Teeth,Low_Good,0.8510560002489441,0.4358439191289526,,3.660934078088145,1.9996485296611124,7.2819198904528974,0.15249247152235126,0.45491559361111167,0.02682656215191385,0.5672636477697628,1.2768248386924723,,
HN_OpenMouth,Low_Good,0.862546985679143,0.5268589128720467,,-0.5958204551609048,6.228774834344097,7.353111583156936,0.7592113689783935,0.002219652670395783,0.002848494071987133,0.5456146694160198,1.3635764289484325,,*
HN_DryMouth,Low_Good,1.32113591521093,0.211990796675188,,-0.6562377736546143,-3.2186228381108464,3.1130392342945585,0.8072779171848449,0.2548729290970452,0.37752898656902234,0.8531357159782473,2.0458645368736676,,
HN_Sticky,Low_Good,1.378921719565876,0.13729855577541947,,-1.3804800136237085,-0.11985505158345044,-5.673504972345553,0.596508396474227,0.9651691067604524,0.10074294560850824,0.9025771575304115,2.1066621206026324,,
HN_Cough,Low_Good,1.0585474754236397,0.8087677504581704,,0.7882848312709003,0.5168302073040216,-1.470579737743621,0.6904516037709443,0.80448290501817,0.5800477932240531,0.6677192963128161,1.6781344554715603,,
HN_Ill,Low_Good,1.7310333612645115,0.010331479171326397,*,-4.144020545583216,-0.9977099234480913,-0.6823604774661591,0.12142808300411677,0.723073967593864,0.847917415837824,1.138095413420082,2.6328868937324192,,
HN_PainKiller,Low_Good,0.4654046683795818,0.01751444900111752,*,4.049935244227754,9.826699674616442,15.524442904272886,0.30825261506800605,0.019366276250678743,0.0038706098862793426,0.24762387735882285,0.8747197873637971,,*
HN_Supplem,Low_Good,1.271344521249266,0.30482306207555543,,-4.692929473941321,-8.853785028757741,-3.1816883234522892,0.3708042880854149,0.1075451524178874,0.6399583452700797,0.8037440376798735,2.0109846119372334,,
HN_Tube,Low_Good,0.2752582969523361,0.1192139693880601,,1.2590413860746335,-1.3531738198001833,-0.6917619974202025,0.23384825868578193,0.23076198329962871,0.6529780067473012,0.05432136338667708,1.3947943372069922,,
HN_WeightLoss,Low_Good,1.1132830178362971,0.6417918341899106,,-12.701880871931328,0.6707548286384029,-1.1232622512777724,0.009848159922483387,0.8980359388587471,0.8730822689976778,0.708347695935667,1.7497043964624637,*,
HN_WeightGain,Low_Good,0.8858042551852017,0.481783111126745,,2.526250721444582,1.2482938704860007,-9.545298834793625,0.644837876500157,0.830821229095351,0.22632386163035587,0.6318394971528767,1.24184889048549,,
